"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","36","0","1","0.000000","0","0"
"/AppleARKit/M_SceneDepthOcclusion.M_SceneDepthOcclusion","21","10","0","1","0.000000","0","0"
"/ARUtilities/Materials/M_DepthColoration.M_DepthColoration","21","10","0","1","0.000000","0","0"
"/GoogleARCore/M_SceneDepthOcclusion.M_SceneDepthOcclusion","21","10","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","10","0","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","21","20","0","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","0","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/M_Dataflow_CheckerBoard.M_Dataflow_CheckerBoard","21","8","0","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","20","0","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","12","0","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","12","0","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","21","4","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","0","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","21","2","0","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","21","2","0","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","21","2","0","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","4","0","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","8","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","44","0","1","0.000000","0","0"
"/Game/ProductAssets/Materials/M_Plastic.M_Plastic","21","4","0","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/UI/Materials/M_CircularMask.M_CircularMask","21","12","0","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Arrow.M_Arrow","21","4","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","40","0","1","0.000000","0","0"
"/Engine/EditorMaterials/WidgetVertexColorMaterial.WidgetVertexColorMaterial","21","2","0","1","0.000000","0","0"
"/Landmass/Landscape/BlueprintBrushes/Materials/Internal/BrushBounds","21","0","2","1","2.877853","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster","21","0","28","1","33.685513","0","28"
"/Engine/EngineMaterials/Widget3DPassThrough_Translucent_OneSided","21","0","2","1","1.273791","0","2"
"/AppleARKit/MI_MatteOcclusionOverlay","21","0","10","1","2.649045","0","10"
"/Engine/EditorLandscapeResources/MaskBrushMaterial_MaskedRegion","21","0","2","1","1.646727","0","2"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","21","12","0","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","21","20","0","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","21","12","0","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","0","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","9","0","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","2","0","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","0","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","4","0","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","24","0","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","21","12","0","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","21","12","0","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.SculptMaterial","21","6","0","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","8","0","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","0","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","0","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","0","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","21","10","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","21","10","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","0","1","0.000000","0","0"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_02","21","0","2","1","3.854976","0","2"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_Fallback","21","0","2","1","1.557267","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster","21","0","20","1","18.060253","0","20"
"/InterchangeAssets/gltf/M_Default","21","0","8","1","6.929658","0","8"
"/InterchangeAssets/gltf/M_ClearCoat","21","0","8","1","10.473538","0","8"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor","21","0","10","1","1.802197","0","10"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale","21","0","10","1","2.543614","0","10"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial","21","0","2","1","0.567473","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial","21","0","2","1","0.605621","0","2"
"/Engine/VREditor/TransformGizmo/Main","21","0","2","1","1.330516","0","2"
"/Engine/EditorMaterials/Camera/CineMat","21","0","8","1","4.149843","0","8"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial","21","0","18","2","9.852053","0","18"
"/InterchangeAssets/gltf/MaterialInstances/MI_Sheen_Blend","21","0","12","1","21.360441","0","12"
"/Engine/EngineDebugMaterials/DebugMeshMaterial","21","0","2","1","0.427451","0","2"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial","21","0","12","1","6.226791","0","12"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat","21","0","8","1","4.335891","0","8"
"/Engine/EngineMaterials/RemoveSurfaceMaterial","21","0","2","1","1.196487","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent","21","0","2","1","1.079554","0","2"
